Ranking,Country,GDP_Per_Capita,Life_Expectancy,Unemployment_Rate,Fertility_Rate,People_Per_KMsq,Percent_Population_Urban,Percent_Female_Labor,Percent_Electricity_Access,Air_Pollution_PPM
20,Chile,15037.35011,79.732,6.958000183,1.766,24.84148392,87.49,50.90999985,100,21.03629906
21,United Arab Emirates,40325.382,77.412,2.463000059,1.731,133.5849479,86.248,51.26699829,100,40.91750982
22,Brazil,9880.946543,75.723,12.82699966,1.711,24.8660385,86.309,54.16799927,100,12.70662947
23,Czech Republic,20379.89604,79.47560976,2.890000105,1.63,137.1981093,73.675,52.53699875,100,16.07124535
24,Argentina,14591.86338,76.738,8.347000122,2.277,16.09419079,91.749,49.11800003,100,13.31183395
25,Mexico,9281.101483,77.305,3.420000076,2.153,64.18751717,79.867,43.6629982,100,20.92111579
26,Singapore,60297.79378,82.89512195,3.907000065,1.16,7915.730436,100,60.67200089,100,19.0782565
27,Malta,27241.09064,82.45365854,4.566999912,1.37,1462.496875,94.546,43.32799911,100,13.90954337
28,Uruguay,16437.24487,77.645,7.889999866,1.984,19.63573306,95.24,55.59700012,100,9.27488332
29,Guatemala,4470.610798,73.654,2.684000015,2.92,157.8474804,50.68,41.0870018,93.28809357,24.07064893
30,Panama,15166.12443,78.195,3.900000095,2.487,55.24308582,67.365,52.47999954,100,11.40005433
31,France,38679.12715,82.52439024,9.397000313,1.92,122.1154053,80.18,50.43799973,100,11.81496362
32,Thailand,6578.188865,75.498,0.632000029,1.467,135.4691969,49.2,59.76100159,100,26.25672656
34,Spain,28208.26105,83.32926829,17.22400093,1.34,93.26780444,80.08,51.86100006,100,9.697927863
35,Qatar,61264.39648,78.331,0.140000001,1.886,234.687683,99.078,58.06399918,100,91.18732793
36,Colombia,6375.932063,74.562,8.871999741,1.834,44.07486796,80.446,58.55799866,99.59523773,16.52721022
37,Saudi Arabia,20803.74257,74.72,5.889999866,2.491,15.39717215,83.622,23.28899956,100,87.94544668
38,Trinidad and Tobago,16076.08204,70.783,2.816999912,1.739,269.7996101,53.205,50.51100159,100,24.10856843
39,Kuwait,29474.54143,74.811,1.996999979,1.96,227.6148709,100,57.74599838,100,60.74515954
41,Bahrain,23715.48275,77.038,0.947000027,2.009,1920.403524,89.186,44.35200119,100,70.81620768
42,Malaysia,10117.56903,75.452,3.410000086,2.019,94.67365089,75.447,50.67599869,100,16.03580871
43,Nicaragua,2168.19124,75.653,4.212999821,2.171,53.05679741,58.299,50.44300079,86.76779938,17.61418045
44,Ecuador,6213.501276,76.551,3.835999966,2.458,67.58480029,63.67,56.63000107,100,14.88610066
45,El Salvador,3902.237622,73.75,4.385000229,2.058,308.3070463,71.275,45.88000107,99.49038696,24.47229229
